Designator,Mid X,Mid Y,Rotation,Layer
J3_2,240.368077,-136.3,0.0,top
J3,185.938077,-136.3,0.0,top
JET_2,254.925,-153.275,270.0,bottom
JET,171.268077,-153.6,90.0,bottom
LS0,91.643077,-111.35,180.0,top
LS1,110.643077,-111.35,180.0,top
LS10,179.643077,-164.35,180.0,top
LS11,198.643077,-164.35,180.0,top
LS2,129.643077,-105.35,180.0,top
LS3,148.643077,-100.35,180.0,top
LS4,167.643077,-106.35,180.0,top
LS5,91.643077,-129.35,180.0,top
LS6,110.643077,-129.35,180.0,top
LS7,129.643077,-123.35,180.0,top
LS8,148.643077,-118.35,180.0,top
LS9,167.643077,-124.35,180.0,top
MCU_2,185.588082,-116.789995,0.0,top
MCU,240.648072,-116.70472,0.0,top
RS0,261.743077,-106.35,180.0,top
RS1,280.743077,-100.35,180.0,top
RS2,299.743077,-105.35,180.0,top
RS3_3,337.743077,-129.35,180.0,top
RS3_2,318.743077,-111.35,180.0,top
RS3,337.743077,-111.35,180.0,top
RS4,261.743077,-124.35,180.0,top
RS5,280.743077,-118.35,180.0,top
RS6,299.743077,-123.35,180.0,top
RS7,318.743077,-129.35,180.0,top
RS8,230.743077,-164.35,180.0,top
RS9,249.743077,-164.35,180.0,top
RSW1_2,235.768077,-153.1,180.0,top
RSW1,190.468077,-153.0,180.0,top
